Word,Count,Pos,Definition
Aam,3,"""n.""","""A Dutch and German measure of liquids  varying in different cities being at Amsterdam about 41 wine gallons at Antwerp 36 1/2 at Hamburg 38 1/4."""
Aard-vark,9,"""n.""","""An edentate mammal  of the genus Orycteropus somewhat resembling a pig common in some parts of Southern Africa. It burrows in the ground and feeds entirely on ants which it catches with its long slimy tongue."""
Aard-wolf,9,"""n.""","""A carnivorous quadruped (Proteles Lalandii)  of South Africa resembling the fox and hyena. See Proteles."""
Aaronic,7,"""a.""","""Alt. of Aaronical"""
Aaronical,9,"""a.""","""Pertaining to Aaron  the first high priest of the Jews."""
Aaron's rod,11,"""""","""A rod with one serpent twined around it  thus differing from the caduceus of Mercury which has two."""
Aaron's rod,11,"""""","""A plant with a tall flowering stem; esp. the great mullein  or hag-taper and the golden-rod."""
Ab-,3,"""""","""A prefix in many words of Latin origin. It signifies from  away separating or departure as in abduct abstract abscond. See A-(6)."""
Ab,2,"""n.""","""The fifth month of the Jewish year according to the ecclesiastical reckoning  the eleventh by the civil computation coinciding nearly with August."""
Abaca,5,"""n.""","""The Manila-hemp plant (Musa textilis); also  its fiber. See Manila hemp under Manila."""
Abacinate,9,"""v. t.""","""To blind by a red-hot metal plate held before the eyes."""
Abacination,11,"""n.""","""The act of abacinating."""
Abaciscus,9,"""n.""","""One of the tiles or squares of a tessellated pavement; an abaculus."""
Abacist,7,"""n.""","""One who uses an abacus in casting accounts; a calculator."""
Aback,5,"""adv.""","""Toward the back or rear; backward."""
Aback,5,"""adv.""","""Behind; in the rear."""
Aback,5,"""adv.""","""Backward against the mast; -- said of the sails when pressed by the wind."""
Aback,5,"""n.""","""An abacus."""
Abactinal,9,"""a.""","""Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal."""
